created_at	comment_count	repost_count	text
2012-12-5 9:40:36	51	97	【IDC：今年智能手机出货量同比增45%】IDC周二报告称，由于需求强劲，今年全球智能手机出货量将同比增长45.1%，至7.175亿部。Android将是智能手机操作系统市场领先者；iOS其次，Windows Phone将与黑莓争夺第三的位置。http://t.cn/zjI3S7D
2012-12-5 11:49:54	41	94	三星推出口袋便携投影仪，可以通过MHL或者是HDMI接口与手机或是平板、笔记本等设备连接，配备了1650mAh电池与内置扬声器，分辨率虽然只有640x360，不过对于一款口袋投影仪来说已经足够了。目前该设备仅在韩国上市，售价约合人民币1413元。http://t.cn/zjIuH59
2012-12-5 9:50:58	60	75	【专家解惑国内3G网速慢：中国人太多了】据悉，2012年10月我国平均3G速率为52.5K/s。其中@中国联通 为55K/s;@中国电信 49.6K/s;@中国移动 28.2K/s。日韩3G网络均速达1400K/s。北邮教授曾剑秋表示，原因一是网络覆盖不及发达国家，另一重要原因用户数量远多于日韩，影响整体网速。http://t.cn/zjI3geO
2012-12-5 9:25:19	54	88	【市场研究公司称Surface RT四季度销量低于预期】美国市场研究公司Detwiler Fenton周二发布报告称，微软Surface RT平板电脑在第四季度中的销售量为50万台到60万台，低于此前预期的100万台到200万台，Detwiler分析师认为，Surface RT的问题在于经销渠道的缺乏。http://t.cn/zjI1J2f
2012-12-6 12:32:00	9	21	【听，iDoNews业内人说：诺基亚自食苦果 1.7亿欧元卖掉芬兰总部】by@吴越春秋-真相和故乡 ：放弃自主Symbian系统后，诺基亚就变成一个纯粹的手机生产商，面临Android和iOS的双重包围，明知要面对三星全方位的竞争，却还是独选最不成熟且收费的WP系统，真是烧钱且浪费时机的自虐。http://t.cn/zjMrQNf
2012-12-5 9:26:42	35	116	【诺基亚2亿美元变卖总部大楼】诺基亚今日证实，已将芬兰总部大楼以1.7亿欧元出售给芬兰公司Exilion。之后，诺基亚将从Exilion手中回租该总部用于办公，以降低成本。诺基亚CFO称，拥有不动产并非我们的核心业务，当机会来临时，我们愿意放弃这些非核心资产...http://t.cn/zjI3XrU 评：呵呵
2012-12-6 10:06:18	13	15	【速途专栏：车库印象与互联网理想主义光芒】走过具有开房嫌疑的宾馆入口，阴冷灰暗的走廊，各种广告的楼梯，就是@车库咖啡 。员工都自由的为自己工作，每个人都极大的发挥自主性，每个人都仿佛期盼一个光明的未来，散发着理想主义的光芒…一起聆听几个关于理想光芒的创业故事。http://t.cn/zjMEVxg
2012-12-4 21:51:38	51	231	【高通入股夏普】夏普宣布，已接受高通1.2亿美元投资。交易完成后，高通将持有夏普2.6%的股份。通过此次合作，夏普和高通将合作开发LCD显示屏，采用最新的IGZO显示技术。IGZO技术能耗更小，屏幕分辨率更高，触摸屏的敏感度也更高。http://t.cn/zjIJiJB
2012-12-6 11:04:24	10	18	【2012移动应用&设备年度评选[走你]走你！】上线两天时间，移动应用方面，凯立德、百度搜索、百度浏览器占据前三甲。移动设备方面，小米M2、魅族MX2、乐Phone K860i正激烈火拼第一位置。做出选择吧！就差一票它就赢了。（移动应用评选：http://t.cn/zjMtS2H 移动设备评选：http://t.cn/zjI9bsR ）
2012-12-6 10:08:40	11	18	【用户在携程订单取消未果 20天后被通知扣钱】12月4日，仇女士接到携程网电话，通知称她于11月15日预订重庆一家客房，因没入住，要被扣款。仇女士疑惑道“不是已经取消了吗？”但客服告之“没有取消”。一小时后，仇女士收到扣款短信，被扣996元。携程网称，他们只是按规定收钱...http://t.cn/zjMEyUb
2012-12-4 10:04:06	134	376	今日外媒爆料三星下一代旗舰手机Galaxy S4将配备4.99寸1080p全高清屏幕和1300万主摄像头。同时有消息透露三星将推出无S-Pen功能的廉价版Galaxy Note II，以及拥有外接键盘底座的13.3寸平板电脑。http://t.cn/zjfkG0h
